distancia,area,categoria
1.90,64.00,0
10.30,223.00,1
35.10,2259.00,2
3.30,44.00,0
9.70,137.00,1
33.40,1886.00,2
4.00,51.00,0
12.80,169.00,1
41.40,1793.00,2
2.60,32.00,0
12.30,211.00,1
21.20,1924.00,2
3.00,38.00,0
8.30,201.00,1
37.50,2143.00,2
2.20,53.00,0
10.00,207.00,1
24.60,1871.00,2
2.90,44.00,0
13.20,190.00,1
43.30,2111.00,2
3.50,43.00,0
11.60,225.00,1
23.50,817.00,2
4.60,56.00,0
10.30,104.00,1
20.20,2315.00,2
4.70,54.00,0
14.40,199.00,1
43.20,1128.00,2
0.40,58.00,0
6.10,103.00,1
21.80,1471.00,2
2.60,59.00,0
8.40,250.00,1
46.90,1830.00,2
3.30,47.00,0
13.10,203.00,1
33.80,1931.00,2
4.30,53.00,0
14.50,229.00,1
42.40,2486.00,2
1.30,59.00,0
8.70,143.00,1
47.40,1323.00,2
1.00,50.00,0
5.20,155.00,1
41.80,1889.00,2
2.30,35.00,0
9.70,244.00,1
35.60,804.00,2
3.20,45.00,0
8.90,132.00,1
45.20,1969.00,2
3.20,38.00,0
8.50,116.00,1
21.00,970.00,2
2.20,59.00,0
5.90,247.00,1
27.30,2191.00,2
4.90,56.00,0
11.10,100.00,1
47.60,2205.00,2
0.50,36.00,0
12.30,102.00,1
37.80,1896.00,2
1.80,48.00,0
11.30,149.00,1
25.00,1280.00,2
0.30,53.00,0
13.60,110.00,1
46.00,1083.00,2
1.90,56.00,0
13.50,164.00,1
33.60,1972.00,2
1.50,40.00,0
13.40,162.00,1
41.00,815.00,2
4.60,39.00,0
7.80,250.00,1
34.30,1238.00,2
2.70,69.00,0
13.10,196.00,1
42.30,547.00,2
2.50,30.00,0
6.60,230.00,1
37.40,1751.00,2
3.20,43.00,0
6.80,241.00,1
44.10,774.00,2
2.10,61.00,0
8.10,193.00,1
33.00,2084.00,2
3.10,34.00,0
7.50,100.00,1
37.20,1532.00,2
4.90,64.00,0
14.80,223.00,1
32.20,1054.00,2
2.90,47.00,0
5.60,134.00,1
31.10,2200.00,2
3.10,51.00,0
5.80,170.00,1
45.40,2064.00,2
1.90,30.00,0
5.10,191.00,1
34.90,2106.00,2
0.40,43.00,0
6.50,177.00,1
35.50,1424.00,2
4.70,52.00,0
5.00,221.00,1
37.10,1363.00,2
3.30,31.00,0
5.30,108.00,1
34.90,1005.00,2
4.50,36.00,0
5.00,229.00,1
45.70,1236.00,2
4.80,47.00,0
14.90,246.00,1
41.40,1440.00,2
3.70,35.00,0
13.00,101.00,1
34.60,1935.00,2
3.40,46.00,0
10.90,210.00,1
20.40,993.00,2
1.00,68.00,0
9.30,117.00,1
33.00,1134.00,2
4.80,67.00,0
12.60,114.00,1
30.90,561.00,2
3.20,66.00,0
8.30,113.00,1
44.60,1391.00,2
4.30,55.00,0
7.20,157.00,1
40.80,2398.00,2
2.80,54.00,0
7.00,229.00,1
41.20,1965.00,2
2.30,43.00,0
12.50,104.00,1
35.70,822.00,2
1.60,51.00,0
5.10,152.00,1
41.40,1263.00,2
4.20,67.00,0
7.10,141.00,1
45.40,978.00,2
3.10,57.00,0
7.70,229.00,1
33.30,2132.00,2
3.10,41.00,0
10.30,173.00,1
33.10,877.00,2
2.40,30.00,0
7.70,169.00,1
48.50,723.00,2
3.90,33.00,0
5.80,106.00,1
33.30,600.00,2
0.80,36.00,0
10.50,194.00,1
42.40,1669.00,2
1.00,50.00,0
7.30,148.00,1
39.50,2362.00,2
1.30,55.00,0
14.30,239.00,1
37.10,772.00,2
1.20,45.00,0
9.70,210.00,1
31.90,1034.00,2
0.30,58.00,0
12.90,228.00,1
24.70,1223.00,2
4.00,30.00,0
5.50,127.00,1
36.00,1884.00,2
2.50,57.00,0
7.60,191.00,1
41.60,1018.00,2
2.50,45.00,0
8.90,112.00,1
22.80,1596.00,2
1.40,37.00,0
14.10,105.00,1
43.10,1127.00,2
4.00,39.00,0
10.10,138.00,1
31.00,1081.00,2
1.40,34.00,0
8.50,164.00,1
22.00,1298.00,2
1.60,34.00,0
10.10,218.00,1
47.40,2146.00,2
2.80,37.00,0
7.20,144.00,1
22.70,2322.00,2
0.60,54.00,0
8.10,130.00,1
30.00,785.00,2
2.00,69.00,0
8.40,123.00,1
49.40,1640.00,2
0.90,55.00,0
6.80,104.00,1
28.10,2162.00,2
4.90,42.00,0
5.80,119.00,1
36.90,1112.00,2
3.30,44.00,0
8.30,125.00,1
36.10,528.00,2
3.60,52.00,0
7.20,158.00,1
33.50,1078.00,2
2.40,51.00,0
8.10,103.00,1
21.70,1176.00,2
0.80,52.00,0
6.50,175.00,1
38.00,1782.00,2
0.90,45.00,0
8.00,240.00,1
26.90,2142.00,2
1.90,65.00,0
12.70,180.00,1
43.00,1804.00,2
3.00,51.00,0
8.70,213.00,1
46.90,784.00,2
2.80,55.00,0
5.60,240.00,1
20.80,540.00,2
4.70,36.00,0
12.20,130.00,1
41.80,1690.00,2
4.10,45.00,0
14.80,112.00,1
49.00,1911.00,2
2.90,70.00,0
7.60,221.00,1
42.90,2271.00,2
4.80,37.00,0
9.90,209.00,1
36.00,1562.00,2
2.40,65.00,0
11.50,100.00,1
28.60,1520.00,2
0.20,69.00,0
10.50,226.00,1
49.50,1741.00,2
2.00,54.00,0
10.70,151.00,1
