CO_REGIAO,CO_UF,CO_MUNICIPIO,IN_CAPITAL,TP_DIMENSAO,TP_ORGANIZACAO_ACADEMICA,TP_REDE,TP_CATEGORIA_ADMINISTRATIVA,IN_COMUNITARIA,IN_CONFESSIONAL,CO_IES,CO_CURSO,CO_CINE_ROTULO,CO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,QT_CURSO,QT_VG_TOTAL,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_EAD,QT_VG_NOVA,QT_VG_PROC_SELETIVO,QT_VG_REMANESC,QT_VG_PROG_ESPECIAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_EAD,QT_INSC_VG_NOVA,QT_INSC_PROC_SELETIVO,QT_INSC_VG_REMANESC,QT_INSC_VG_PROG_ESPECIAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_DIURNO,QT_ING_NOTURNO,QT_ING_VG_NOVA,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_EGR,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_DIURNO,QT_MAT_NOTURNO,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_DIURNO,QT_CONC_NOTURNO,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_NACBRAS,QT_ING_NACESTRANG,QT_MAT_NACBRAS,QT_MAT_NACESTRANG,QT_CONC_NACBRAS,QT_CONC_NACESTRANG,QT_ALUNO_DEFICIENTE,QT_ING_DEFICIENTE,QT_MAT_DEFICIENTE,QT_CONC_DEFICIENTE,QT_ING_FINANC,QT_ING_FINANC_REEMB,QT_ING_FIES,QT_ING_RPFIES,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_NREEMB,QT_ING_PROUNII,QT_ING_PROUNIP,QT_ING_NRPFIES,QT_ING_FINANC_NREEMB_OUTROS,QT_MAT_FINANC,QT_MAT_FINANC_REEMB,QT_MAT_FIES,QT_MAT_RPFIES,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_NREEMB,QT_MAT_PROUNII,QT_MAT_PROUNIP,QT_MAT_NRPFIES,QT_MAT_FINANC_NREEMB_OUTROS,QT_CONC_FINANC,QT_CONC_FINANC_REEMB,QT_CONC_FIES,QT_CONC_RPFIES,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_NREEMB,QT_CONC_PROUNII,QT_CONC_PROUNIP,QT_CONC_NRPFIES,QT_CONC_FINANC_NREEMB_OUTROS,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVPPI,QT_ING_RVQUILO,QT_ING_RVREFU,QT_ING_RVPOVT,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVIDOSO,QT_ING_RVINTERN,QT_ING_RVMEDAL,QT_ING_RVTRANS,QT_ING_RVOUTROS,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVPPI,QT_MAT_RVQUILO,QT_MAT_RVREFU,QT_MAT_RVPOVT,QT_MAT_RVPDEF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVIDOSO,QT_MAT_RVINTERN,QT_MAT_RVMEDAL,QT_MAT_RVTRANS,QT_MAT_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVPPI,QT_CONC_RVQUILO,QT_CONC_RVREFU,QT_CONC_RVPOVT,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVIDOSO,QT_CONC_RVINTERN,QT_CONC_RVMEDAL,QT_CONC_RVTRANS,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA,QT_PARFOR,QT_ING_PARFOR,QT_MAT_PARFOR,QT_CONC_PARFOR,QT_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA
5.0,53.0,5300108.0,1.0,1,1,1,1,0,0,2,31378,"""0115L03""",1,11,115,2.0,1,1,1,1,13,13,0,0,0,0,13,0,13,13,0,0,0,0,13,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,2,0,1,0,0,0,67,48,19,67,0,0,36,16,5,3,4,2,1,24,4,39,0,0,0,17,13,4,17,0,0,9,6,0,2,0,0,0,4,0,13,0,0,0,3,0,66,1,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,32,32,21,0,0,0,1,8,0,0,0,0,0,10,10,7,0,0,0,0,4,0,0,0,0,0,5,4,1,0,2,1,0,51,16,0,14,3,0,0,0,0,0,17,0,17,6,20,0,18,4,1,1,1,0
5.0,53.0,5300108.0,1.0,1,1,1,1,0,0,2,1349598,"""0115L18""",1,11,115,2.0,1,1,1,1,50,50,0,0,50,0,0,0,38,38,0,0,38,0,0,0,35,23,12,35,0,35,35,0,0,0,0,0,0,0,0,0,0,14,6,4,3,5,2,1,16,5,14,0,0,0,122,85,37,122,0,0,38,36,19,7,12,9,1,42,11,69,0,0,0,15,11,4,15,0,0,2,7,3,2,0,1,0,0,2,13,0,0,0,35,0,122,0,15,0,12,6,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,4,0,0,0,5,5,0,0,0,0,0,47,36,27,0,0,0,11,16,0,0,0,0,0,12,8,6,0,0,0,4,3,0,0,0,0,0,13,12,1,0,22,13,0,77,45,0,13,2,0,0,0,0,0,40,5,37,9,15,1,15,2,0,0,0,0
5.0,53.0,5300108.0,1.0,1,1,1,1,0,0,2,20551,"""0115L06""",1,11,115,2.0,1,1,1,1,57,0,57,0,56,0,1,0,51,0,51,0,50,0,1,0,25,16,9,0,25,24,3,18,3,0,0,0,0,1,0,0,0,18,3,3,0,1,0,0,22,2,1,0,0,0,167,91,76,0,167,0,88,51,13,8,4,1,2,61,10,92,3,1,0,23,15,8,0,23,0,9,10,3,0,1,0,0,6,1,16,0,0,0,25,0,165,2,23,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,48,40,33,0,0,0,2,15,0,0,0,0,0,8,7,7,0,0,0,0,4,0,0,0,0,0,10,18,2,0,6,19,0,116,51,0,20,3,0,0,0,0,0,20,1,19,4,33,0,32,9,0,0,0,0
5.0,53.0,5300108.0,1.0,1,1,1,1,0,0,2,166,"""0115L02""",1,11,115,2.0,1,1,1,1,61,0,61,0,60,0,1,0,43,0,43,0,42,0,1,0,19,14,5,0,19,19,4,13,2,0,0,0,0,0,0,0,1,11,3,1,2,1,0,0,13,0,6,0,0,0,190,131,59,0,190,1,96,50,22,7,6,6,2,49,14,126,1,0,0,23,16,7,0,23,0,10,10,2,0,1,0,0,5,4,13,1,0,0,19,0,190,0,23,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,70,65,41,0,0,0,1,24,0,0,0,0,0,8,8,5,0,0,0,0,4,0,0,0,0,0,13,23,2,0,5,14,0,139,51,0,22,1,0,0,0,0,0,44,0,43,9,34,0,32,4,0,0,0,0
5.0,53.0,5300108.0,1.0,1,1,1,1,0,0,2,29693,"""0115L04""",1,11,115,2.0,1,1,1,1,4,4,0,0,0,0,4,0,4,4,0,0,0,0,4,0,4,3,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,3,0,1,0,0,0,138,93,45,138,0,0,106,23,4,3,2,0,0,28,12,96,0,2,0,21,17,4,21,0,0,14,7,0,0,0,0,0,3,4,14,0,0,0,4,0,138,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,81,71,51,0,0,1,0,29,0,0,0,0,0,15,14,6,0,0,0,0,4,0,0,0,0,0,7,9,3,0,2,2,0,111,27,0,18,3,0,0,0,0,0,32,0,31,3,47,0,45,4,1,0,1,0
5.0,53.0,5300108.0,1.0,1,1,1,1,0,0,2,162,"""0115L13""",1,11,115,2.0,1,1,1,1,89,0,89,0,80,0,9,0,122,0,122,0,113,0,9,0,59,38,21,0,59,51,10,33,8,0,0,0,0,8,0,0,0,41,8,4,1,2,2,1,37,7,15,0,0,0,369,247,122,0,369,0,176,115,39,16,11,10,2,124,33,211,0,1,0,65,42,23,0,65,0,21,31,4,4,4,1,0,17,4,44,0,0,0,59,0,369,0,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,7,0,0,0,0,5,0,0,0,0,0,131,116,79,0,0,0,0,44,0,0,0,0,0,27,23,16,0,0,0,0,3,0,0,0,0,0,28,28,3,0,26,33,0,257,112,0,51,14,0,0,0,0,0,59,5,57,7,69,3,67,11,0,0,0,0
5.0,53.0,5300108.0,1.0,1,1,1,1,0,0,2,34644,"""0115L13""",1,11,115,2.0,1,1,1,1,16,16,0,0,0,0,16,0,16,16,0,0,0,0,16,0,7,6,1,7,0,0,0,0,0,0,0,0,0,6,0,1,0,6,0,0,0,1,0,0,3,0,4,0,0,0,158,134,24,158,0,0,116,31,5,2,3,0,1,29,21,107,0,1,0,56,46,10,56,0,0,38,15,3,0,0,0,0,5,7,43,0,1,0,7,0,158,0,56,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,77,67,57,0,0,0,0,24,0,0,0,0,0,28,26,25,0,0,0,0,10,0,0,0,0,0,6,11,0,0,4,3,0,120,38,0,43,13,0,0,0,0,0,35,2,34,11,45,1,44,14,0,0,0,0
5.0,53.0,5300108.0,1.0,1,1,1,1,0,0,2,44377,"""0115L13""",1,11,115,2.0,1,1,1,1,67,67,0,0,60,0,5,2,86,86,0,0,74,0,5,7,34,20,14,34,0,29,6,14,9,0,0,0,0,2,2,1,0,23,6,3,2,0,0,0,18,2,13,0,1,0,189,148,41,189,0,0,132,37,5,7,4,3,1,57,15,115,0,2,0,27,21,6,27,0,0,15,9,0,2,0,1,0,6,2,19,0,0,0,33,1,188,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,2,0,0,0,0,0,68,60,38,0,0,1,0,20,0,0,0,0,0,12,11,10,0,0,0,0,3,0,0,0,0,0,9,9,1,0,14,20,0,114,75,0,14,13,0,0,0,0,0,34,5,34,7,42,0,40,9,1,0,1,0
5.0,53.0,5300108.0,1.0,1,1,1,2,0,0,27103,1676588,"""0115L04""",1,11,115,2.0,1,1,1,1,40,40,0,0,40,0,0,0,40,40,0,0,40,0,0,0,25,13,12,25,0,25,0,25,0,0,0,0,0,0,0,0,0,19,2,2,0,2,0,0,7,3,5,1,0,9,23,12,11,23,0,0,17,2,2,0,2,0,0,6,3,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,23,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,3,3,0,0,2,8,0,0,0,0,0,15,9,3,3,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,5,0,18,5,0,0,0,0,0,0,0,0,11,11,11,0,25,25,23,0,0,0,0,0
5.0,53.0,5300108.0,1.0,1,1,1,2,0,0,27103,1676581,"""0115L13""",1,11,115,2.0,1,1,1,1,80,40,40,0,80,0,0,0,78,38,40,0,78,0,0,0,58,40,18,33,25,58,0,58,0,0,0,0,0,0,0,0,0,27,7,4,11,7,2,0,10,11,16,1,0,20,55,39,16,30,25,0,26,7,4,10,6,2,0,9,10,15,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,55,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,20,10,10,0,0,3,22,0,0,0,0,0,31,20,8,8,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,51,7,0,48,7,0,0,0,0,0,0,0,0,22,22,20,0,58,58,55,0,0,0,0,0
